This is an important test 
 Block 1 ACC 
t=25093 x=1.105607, y=0.094411, z=0.136672 
t=25104 x=1.154669, y=0.063184, z=0.145232 
t=25113 x=1.188459, y=0.038142, z=0.181147 
t=25123 x=1.200771, y=0.000589, z=0.216860 
t=25133 x=1.219928, y=-0.017698, z=0.236282 
t=25143 x=1.191817, y=-0.021469, z=0.241687 
t=25153 x=1.143601, y=-0.033407, z=0.212796 
t=25163 x=1.113906, y=-0.057194, z=0.210943 
t=25173 x=1.092160, y=-0.090418, z=0.200780 
t=25183 x=1.082000, y=-0.143871, z=0.224570 
t=25193 x=1.095132, y=-0.203900, z=0.257876 
t=25203 x=1.103099, y=-0.226220, z=0.284899 
t=25213 x=1.120735, y=-0.241699, z=0.296381 
t=25223 x=1.136374, y=-0.263574, z=0.292305 
t=25233 x=1.144603, y=-0.258862, z=0.258707 
t=25243 x=1.108489, y=-0.260298, z=0.232861 
t=25253 x=1.069774, y=-0.251913, z=0.215818 
t=25263 x=1.055937, y=-0.225841, z=0.189185 
t=25273 x=1.035083, y=-0.205975, z=0.144561 
t=25283 x=1.001372, y=-0.184330, z=0.108022 
t=25293 x=0.946456, y=-0.142767, z=0.048270 
t=25303 x=0.863456, y=-0.102293, z=-0.013404 
t=25313 x=0.864724, y=-0.118283, z=0.327140 
t=25323 x=0.775316, y=-0.100885, z=0.072922 
t=25333 x=0.739857, y=-0.070847, z=-0.123728 
t=25343 x=0.758550, y=-0.098420, z=-0.251109 
t=25353 x=0.800229, y=-0.099614, z=-0.151316 
t=25363 x=0.853538, y=-0.127121, z=0.052373 
t=25373 x=0.864482, y=-0.174782, z=0.066674 
t=25383 x=0.857310, y=-0.209223, z=0.023030 
t=25393 x=0.819488, y=-0.231063, z=-0.027304 
t=25403 x=0.781739, y=-0.233216, z=-0.039796 
t=25413 x=0.763881, y=-0.227335, z=-0.050552 
t=25424 x=0.762961, y=-0.234745, z=-0.061967 
t=25433 x=0.809925, y=-0.247420, z=-0.016961 
t=25443 x=0.817502, y=-0.248106, z=0.033942 
t=25453 x=0.818516, y=-0.258051, z=0.039335 
t=25463 x=0.815595, y=-0.246445, z=0.016435 
t=25473 x=0.813181, y=-0.222924, z=-0.011961 
t=25483 x=0.849783, y=-0.210159, z=-0.021048 
t=25493 x=0.914402, y=-0.219987, z=-0.000031 
